OBJECTID,SEG_ID,STREETNAME,ST_CODE,ONEWAY,CLASS,TYPE,Shape__Length
1,100002,BARTRAM  AVE,16120,B,2,Paint Buffered,1137.34455133802
2,100003,BARTRAM  AVE,16120,B,2,Paint Buffered,371.888029534896
3,100004,BARTRAM  AVE,16120,B,2,Paint Buffered,48.7202266109438
4,100021,LINDBERGH  BLVD,50820,B,5,Separated Bike Lane,467.53715785319
5,100040,ISLAND  AVE,45120,FT,2,Paint Buffered,191.424195761106
6,100045,BARTRAM  AVE,16120,B,2,Paint Buffered,410.264295219072
7,100066,S  84TH  ST,89710,FT,2,Conventional,486.923045506168
8,100067,S  84TH  ST,89710,FT,2,Conventional,284.704233285737
9,100070,BARTRAM  AVE,16120,B,2,Paint Buffered,254.948544199055
10,100071,MARIO LANZA  BLVD,53490,B,4,Conventional,358.931311855109
11,100098,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,325.72695178009
12,100100,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,103.659028254625
13,100125,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,149.723285355018
14,100127,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,272.333631727432
15,100184,TINICUM  BLVD,77365,B,5,Conventional,222.401566774853
16,100185,TINICUM  BLVD,77365,B,5,Conventional,203.250467013083
17,100192,BARTRAM  AVE,16120,B,2,Paint Buffered,222.522644898544
18,100193,BARTRAM  AVE,16120,B,2,Paint Buffered,204.044050541951
19,100197,S  84TH  ST,89710,TF,2,Conventional,534.730071491023
20,100200,S  84TH  ST,89710,TF,2,Conventional,239.428518586021
21,100208,MARIO LANZA  BLVD,53490,B,4,Conventional,899.637275451642
22,100209,S  84TH  ST,89710,TF,2,Conventional,652.514576241254
23,100210,S  84TH  ST,89710,FT,2,Conventional,649.112654593246
24,100213,TINICUM  BLVD,77365,B,5,Conventional,604.473553685668
25,100214,BARTRAM  AVE,16120,B,2,Paint Buffered,526.490637363916
26,100215,S  84TH  ST,89710,B,2,Conventional,362.802388135401
27,100239,BARTRAM  AVE,16120,B,2,Paint Buffered,179.545009089633
28,120051,ISLAND  AVE,45120,B,2,Paint Buffered,477.369451755642
29,120074,ENTERPRISE  AVE,31870,B,3,Paint Buffered,351.15033560547
30,120079,ISLAND  AVE,45120,TF,2,Paint Buffered,86.5346554382214
31,120094,ISLAND  AVE,45120,B,2,Paint Buffered w Conventional,25.7811972808206
32,120103,ENTERPRISE  AVE,31870,B,3,Paint Buffered,357.779727021123
33,120109,ISLAND  AVE,45120,B,2,Paint Buffered w Conventional,515.369334969656
34,120110,ISLAND  AVE,45120,B,2,Paint Buffered,920.34213899372
35,120111,ISLAND  AVE,45120,B,2,Paint Buffered w Conventional,230.733996368053
36,200030,WOODLAND  AVE,84480,B,3,Conventional,92.1177069900974
37,200035,WOODLAND  AVE,84480,B,3,Conventional,94.8350209054347
38,200042,WOODLAND  AVE,84480,B,3,Conventional,66.7560066813296
39,200047,WOODLAND  AVE,84480,B,3,Conventional,54.3546403361026
40,200053,WOODLAND  AVE,84480,B,3,Conventional,65.8347542555545
41,200064,WOODLAND  AVE,84480,B,3,Conventional,100.368709436883
42,200074,WOODLAND  AVE,84480,B,3,Conventional,100.228769450269
43,200081,WOODLAND  AVE,84480,B,3,Conventional,77.9408323949681
44,200089,WOODLAND  AVE,84480,B,3,Conventional,69.8993599396122
45,200094,WOODLAND  AVE,84480,B,3,Conventional,80.2900960164545
46,200104,WOODLAND  AVE,84480,B,3,Conventional,117.833787509216
47,200112,WOODLAND  AVE,84480,B,3,Conventional,130.611598252269
48,200117,ELMWOOD  AVE,31480,B,4,Conventional,99.7226222212174
49,200120,ELMWOOD  AVE,31480,B,4,Conventional,100.750655148311
50,200121,WOODLAND  AVE,84480,B,3,Conventional,207.27506204788
51,200125,ELMWOOD  AVE,31480,B,4,Conventional,77.0671525209339
52,200131,ELMWOOD  AVE,31480,B,4,Conventional,73.1426626308146
53,200134,ELMWOOD  AVE,31480,B,4,Conventional,79.1224118938735
54,200135,WOODLAND  AVE,84480,B,3,Conventional,237.112272905684
55,200140,ELMWOOD  AVE,31480,B,4,Conventional,83.3741563686804
56,200146,WOODLAND  AVE,84480,B,3,Conventional,129.611092812432
57,200148,ELMWOOD  AVE,31480,B,4,Conventional,78.157028908344
58,200157,ELMWOOD  AVE,31480,B,4,Conventional,86.0677779340431
59,200162,ELMWOOD  AVE,31480,B,4,Conventional,208.22223407463
60,200165,WOODLAND  AVE,84480,B,3,Conventional,93.6748837881253
61,200168,ELMWOOD  AVE,31480,B,4,Conventional,85.8921935939532
62,200172,ELMWOOD  AVE,31480,B,4,Conventional,150.294623756066
63,200177,ELMWOOD  AVE,31480,B,4,Conventional,206.630705985803
64,200181,ELMWOOD  AVE,31480,B,4,Conventional,128.012352733644
65,200185,ELMWOOD  AVE,31480,B,4,Conventional,78.475838264685
66,200202,ELMWOOD  AVE,31480,B,4,Conventional,228.209967631296
67,200207,ELMWOOD  AVE,31480,B,4,Conventional,53.1602004263354
68,200210,ELMWOOD  AVE,31480,B,4,Conventional,72.8952024365171
69,200214,ELMWOOD  AVE,31480,B,4,Conventional,60.6573800415052
70,200220,ELMWOOD  AVE,31480,B,4,Conventional,72.5822116875896
71,200226,ELMWOOD  AVE,31480,B,4,Conventional,85.4963654978966
72,200234,ELMWOOD  AVE,31480,B,4,Conventional,72.3508529679696
73,200237,ELMWOOD  AVE,31480,B,4,Conventional,24.2469318604736
74,200240,ELMWOOD  AVE,31480,B,4,Conventional,81.043875329665
75,200285,MARIO LANZA  BLVD,53490,B,4,Conventional,851.512257778355
76,200318,WOODLAND  AVE,84480,B,3,Conventional,82.3484051764739
77,200323,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,164.542086220704
78,200344,ELMWOOD  AVE,31480,B,4,Conventional,77.6369483712323
79,200346,ELMWOOD  AVE,31480,B,4,Conventional,73.3793566236408
80,200349,S  74TH  ST,89450,B,5,Separated Bike Lane,232.828662127113
81,200408,LINDBERGH  BLVD,50820,B,2,Paint Buffered,479.610617077808
82,200409,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,464.199405689971
83,200529,WOODLAND  AVE,84480,B,3,Conventional,77.8525036289477
84,200530,WOODLAND  AVE,84480,B,3,Conventional,107.216612975306
85,200531,WOODLAND  AVE,84480,B,3,Conventional,89.9001938061308
86,200549,BUIST  AVE,19740,B,4,Paint Buffered,72.1436814850332
87,200550,BUIST  AVE,19740,B,4,Paint Buffered,77.6078804183281
88,200551,BUIST  AVE,19740,B,4,Paint Buffered,86.3041906975449
89,200552,BUIST  AVE,19740,B,4,Paint Buffered,135.639113742552
90,200553,BUIST  AVE,19740,B,4,Paint Buffered,70.2327472837873
91,200554,BUIST  AVE,19740,B,4,Paint Buffered,84.3542485928361
92,200555,BUIST  AVE,19740,B,4,Paint Buffered,94.4653380853198
93,200556,BUIST  AVE,19740,B,4,Paint Buffered,34.2199639849902
94,200557,BUIST  AVE,19740,B,4,Paint Buffered,79.0709301108447
95,200558,BUIST  AVE,19740,B,4,Paint Buffered,83.8160605127743
96,200559,BUIST  AVE,19740,B,4,Paint Buffered,167.629934027625
97,200560,BUIST  AVE,19740,B,4,Paint Buffered,69.9389732412599
98,200561,BUIST  AVE,19740,B,4,Paint Buffered,78.2329046090186
99,200562,BUIST  AVE,19740,B,4,Paint Buffered,226.816375190012
100,200563,BUIST  AVE,19740,B,4,Conventional,227.060677712743
101,200566,BUIST  AVE,19740,B,4,Paint Buffered,72.1792164398279
102,200567,BUIST  AVE,19740,B,4,Paint Buffered,206.398381760497
103,200568,BUIST  AVE,19740,B,4,Paint Buffered,42.2212825880043
104,200569,BUIST  AVE,19740,B,4,Paint Buffered,71.2556351972448
105,200572,BUIST  AVE,19740,B,4,Paint Buffered,41.9798877401755
106,200574,BUIST  AVE,19740,B,4,Paint Buffered,78.9562086758912
107,200575,BUIST  AVE,19740,B,4,Paint Buffered,86.1365512232318
108,200598,ISLAND  AVE,45120,FT,2,Conventional,163.851128507315
109,200600,ISLAND  AVE,45120,FT,2,Paint Buffered,1233.26823566607
110,200672,BUIST  AVE,19740,B,4,Paint Buffered,80.6398684122435
111,200711,ISLAND  AVE,45120,FT,2,Conventional,275.075802322007
112,200719,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,21.4460567617828
113,200720,ISLAND  AVE,45120,FT,2,Conventional,175.362048899947
114,200722,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,464.165343611995
115,200723,ISLAND  AVE,45120,FT,2,Sharrow,260.565740278843
116,200726,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,105.529681031299
117,200727,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,61.518752215798
118,200731,ISLAND  AVE,45120,TF,2,Paint Buffered,390.337302684498
119,200732,ISLAND  AVE,45120,TF,2,Paint Buffered,943.582308895178
120,200770,BUIST  AVE,19740,B,4,Paint Buffered,13.8082250649165
121,200771,ELMWOOD  AVE,31480,B,4,Conventional,11.756173807109
122,200772,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,28.2185058518488
123,200773,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,21.3485520896513
124,200774,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,16.6276067822135
125,200778,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,16.6893402327671
126,200780,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,28.1619601095955
127,200781,BUIST  AVE,19740,B,4,Paint Buffered,25.1502726995946
128,200787,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,497.112642774896
129,200789,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,480.791915289516
130,200830,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,139.217302419774
131,200831,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,161.143931715176
132,200832,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,139.196636774946
133,200833,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,160.990114143501
134,200851,GREENWAY  AVE,38640,B,4,Conventional,202.01023472213
135,220009,PACKER  AVE,62680,B,3,Paint Buffered,70.2685080021612
136,220010,PACKER  AVE,62680,B,3,Paint Buffered,66.9331438353498
137,220011,PACKER  AVE,62680,B,3,Paint Buffered,67.523622114141
138,220012,PACKER  AVE,62680,B,3,Paint Buffered,70.7624111662275
139,220015,PACKER  AVE,62680,B,3,Conventional,47.1508160330603
140,220034,PACKER  AVE,62680,B,3,Paint Buffered,26.8800305903167
141,220035,PACKER  AVE,62680,B,3,Paint Buffered,44.0150305926448
142,220044,PENROSE  AVE,64080,B,2,Two Way Separated Bike Lane,111.463800900469
143,220047,PENROSE  AVE,64080,B,2,Conventional,122.288702506635
144,220049,PENROSE  AVE,64080,B,2,Conventional,137.5130910026
145,220056,ESSINGTON  AVE,32200,B,2,Contraflow,62.9599901588166
146,220057,S  70TH  ST,89330,B,3,Conventional,511.722800135441
147,220135,S  15TH  ST,88080,FT,4,Sharrow,185.986066585231
148,220141,S  15TH  ST,88080,FT,4,Sharrow,186.20424187196
149,220148,OREGON  AVE,61560,TF,2,Conventional,109.324990832331
150,220149,OREGON  AVE,61560,TF,2,Conventional,69.0611699460343
151,220150,OREGON  AVE,61560,TF,2,Conventional,58.8443120306994
152,220151,OREGON  AVE,61560,TF,2,Conventional,28.0513436902782
153,220152,OREGON  AVE,61560,TF,2,Conventional,26.583588461287
154,220153,OREGON  AVE,61560,TF,2,Conventional,62.3390582288114
155,220154,OREGON  AVE,61560,TF,2,Conventional,63.1077368251818
156,220155,OREGON  AVE,61560,TF,2,Conventional,28.7311238215218
157,220158,OREGON  AVE,61560,TF,2,Conventional,55.6434609262859
158,220159,OREGON  AVE,61560,TF,2,Conventional,61.8671509784752
159,220160,OREGON  AVE,61560,TF,2,Conventional,71.2272496752497
160,220162,OREGON  AVE,61560,TF,2,Conventional,109.872620949229
161,220165,S  21ST  ST,88200,B,4,Conventional,183.122199817124
162,220166,S  22ND  ST,88220,B,4,Sharrow,186.996380989125
163,220167,S  21ST  ST,88200,B,4,Conventional,187.01893259553
164,220168,OREGON  AVE,61560,TF,2,Conventional,178.715894638927
165,220169,OREGON  AVE,61560,TF,2,Conventional,217.160064675258
166,220170,OREGON  AVE,61560,TF,2,Conventional,178.833798342473
167,220251,PENROSE  AVE,64080,B,2,Conventional,413.337502028379
168,220261,S  61ST  ST,89040,B,3,Conventional,1500.27478106048
169,220262,S  63RD  ST,89080,B,2,Conventional,886.943764199938
170,220263,W  PASSYUNK  AVE,63240,B,2,Two Way Separated Bike Lane,816.428538765628
171,220265,NORWITCH  DR,60235,B,5,Conventional,1152.73699540521
172,220266,ESSINGTON  AVE,32200,B,2,Contraflow,1211.05607606318
173,220268,S  22ND  ST,88220,B,4,Sharrow,183.278800624443
