X,Y,OBJECTID,FRIENDS_GROUP_NAME,PUBLIC_NAME,PARENT_NAME,ADDRESS,ZIP_CODE,CONTACT_EMAIL,CONTACT_WEBSITE,PPR_PROG_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,COMMENTS
-75.159909859971,39.9378949308495,1,Friends of Bardascino Park,Giuseppe Bardascino Park,Giuseppe Bardascino Park,1000 S 10TH ST,19147,bardparkfriends@gmail.com,http://www.bardascinopark.org,12,7,1,3,
-75.2215934667865,39.9538623297967,2,Friends of Barkan Park,Ben Barkan Park,Ben Barkan Park,4998 SPRUCE ST,19143,pprstewardship@phila.gov,,10,8,3,18,
-75.1464172706285,39.9365239795184,3,Friends of Beck Park,Beck Park,Beck Park,839 S 02ND ST,19147,pprstewardship@phila.gov,https://www.facebook.com/beck.park.7,12,7,1,3,
-75.2096941869111,39.9894880634755,4,Belmont Plateau Trails Alliance,West Fairmount Park,West Fairmount Park,1800 BELMONT MANSION DR,19131,belmont.trails@gmail.com,https://www.facebook.com/belmontplateautrails,7,5,4,16,
-75.1735113652437,39.9603231549542,5,Parkway Council,Benjamin Franklin Parkway,Benjamin Franklin Parkway,BENJ FRANKLIN PKY,19103,info@parkwaycouncil.org,http://www.parkwaycouncil.org,9,5,5,9,
-75.1428465062616,39.9735004070308,6,Friends of Benson Park,Benson Park,Benson Park,1444 N 04TH ST,19122,welovebensonpark@gmail.com,https://www.facebook.com/bensonpark19122/?mibextid=ZbWKwL,9,2,7,26,
-75.2181879711289,40.0251040115925,7,Friends of Boone Park,Boone Park,Boone Park,4200 BOONE ST,19128,friendsofboonepark@gmail.com,https://www.facebook.com/groups/friendsofboonepark,3,4,4,5,
-75.1795417469094,39.9769151180988,8,Brewerytown Garden,Brewerytown Garden,Brewerytown Garden,1341 N 27TH ST,19121,info@brewerytowngarden.com,http://www.brewerytowngarden.com,9,6,5,22,
-75.1789590604388,39.9672037419803,9,Friends of the Bulldog Park,Reliance Triangle,Reliance Triangle,2501 PENNSYLVANIA AVE,19130,pprstewardship@phila.gov,,9,6,5,9,
-75.0887052240038,40.0685609989444,10,Friends of Ryerss at Burholme,Burholme Park,Burholme Park,7370 CENTRAL AVE,19111,pprstewardship@phila.gov,http://www.robertryerss.org,1,1,10,2,
