X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.2158173668384,39.9659803740685,807,Tiffany Fletcher Recreation Center,1911,PPR_REC,A,Y,N,,Former name Mill Creek Playground and Recreation Center (12/2022).,Programs 11/24
-75.1679388200898,39.9657190564368,808,Roberto Clemente Playground,1831,PPR_REC,B,Y,N,, ,Programs 11/24
-75.1956217828492,39.9674789707912,809,Miles Mack Playground,1910,PPR_REC,A,Y,N,, ,Programs 11/24
-75.2503959725216,39.9693586480479,810,William T Granahan Playground,1864,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 11/24
-75.1671292948194,39.9684953776873,811,Francisville Recreation Center,1859,PPR_REC,A,Y,N,, ,Programs 11/24
-75.2563004471617,39.9744581296902,812,Charles A Papa Playground,1929,PPR_REC,A,Y,N,,Located in Morris Park.,Programs 11/24
-75.127804193671,39.9718519362137,813,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1453480195181,39.9732354816872,814,Narcissa S Cruz Recreation Center,908,PPR_REC,A,Y,N,,Two Programmable Buildings on site.,Programs 11/24
-75.2281120320227,39.9755166699724,815,Conestoga Community Playground,1982,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1323369643043,39.9775636116895,816,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.240708907701,39.9818673517985,961,Ernest L Tustin Recreation Center,1965,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1699513144595,39.9808165317371,962,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.2265855331485,39.983261667864,963,Parkside Evans Recreation Center,1930,PPR_REC,A,Y,N,,Located within West Fairmount Park.,Programs 11/24
-75.1602995904469,39.9817165943757,964,Fletcher B Amos Playground,1809,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1184312957035,39.9810103730566,965,Frederick Cione Playground,1830,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1474504480631,39.9832371708012,966,8th and Diamond Playground,1805,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1125569610739,39.984128616754,967,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.1748485295623,39.9875900341127,968,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.0970003048815,39.9906862441445,969,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.149786675173,39.9968166414797,970,12th and Cambria Playground,1800,PPR_REC,A,Y,N,, ,Programs 11/24
-75.0986566623997,39.9977050554547,971,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.1376201731773,40.0004475329908,972,Ramonita Negron Rivera Recreation and Community Center,1941,PPR_REC,A,Y,Y,,2024 Rebuild Renovations Complete.,Programs 11/24
-75.1215486118575,40.0001694622982,973,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,,Closed for Rebuild,Programs 11/24
-75.068187407772,39.9995234587587,974,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.1292342030226,40.0018467010585,975,John (Steve) Schmidt Playground,1978,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1083604597225,40.001457656865,976,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1614002292124,40.0062418013054,977,Jerome Brown Playground,1880,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1686864651181,40.0454221987442,978,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,,Closed for Renovations,Programs 11/24
-75.1013201919856,40.0461563346073,979,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,,Closed for Rebuild (2024),Programs 11/24
-75.179686086872,40.0477327845817,980,Daniel E Rumph II Recreation Center,1945,PPR_REC,A,Y,Y,, ,Programs 11/24
-75.1238139337803,40.0491070360007,981,Helen G Sturgis Playground,1960,PPR_REC,A,Y,N,, ,Programs 11/24
-75.1463628902191,40.0505422829906,982,Morris Estate Cultural Center,1914,PPR_REC,A,Y,N,, ,Programs 11/24
-75.024569362954,40.0478974189828,983,James J Ramp Playground,1938,PPR_REC,A,Y,N,, ,Programs 11/24
