,Common Street Name 1,Common Street Name 2,Common Street Name 3
30.0,3000 BLOCK RUTH ST,,
31.0,3100 BLOCK JASPER ST,3100 BLOCK KENSINGTON AV,
32.0,3200 BLOCK KENSINGTON AV,,
33.0,3300 BLOCK MARKET ST,,
34.0,3400 BLOCK N BROAD ST,,
35.0,3500 BLOCK CEDAR ST,3500 BLOCK COTTMAN AV,
36.0,3600 BLOCK MIDVALE AV,,
37.0,3700 BLOCK SPRUCE ST,,
38.0,3800 BLOCK AUBREY AV,,
39.0,3900 BLOCK ARAMINGO AV,,
40.0,4000 BLOCK LANCASTER AV,,
41.0,4100 BLOCK MONUMENT RD,,
42.0,4200 BLOCK CHESTNUT ST,,
43.0,4300 BLOCK BYBERRY RD,,
44.0,4400 BLOCK CASTOR AV,,
45.0,4500 BLOCK CASTOR AV,,
46.0,4600 BLOCK E ROOSEVELT BLVD,,
47.0,4700 BLOCK FRANKFORD AV,,
48.0,4800 BLOCK MARKET ST,,
49.0,4900 BLOCK BALTIMORE AV,,
50.0,5000 BLOCK CITY AV,,
51.0,5100 BLOCK LANCASTER AV,,
52.0,5200 BLOCK GERMANTOWN AV,,
53.0,5300 BLOCK CHEW AV,,
54.0,5400 BLOCK WISSAHICKON AV,,
55.0,5500 BLOCK TULIP ST,,
56.0,5600 BLOCK VINE ST,,
57.0,5700 BLOCK OXFORD AV,,
58.0,5800 BLOCK WOODLAND AV,,
59.0,5900 BLOCK RIDGE AV,,
60.0,6000 BLOCK N BROAD ST,,
61.0,6100 BLOCK WOODLAND AV,,
62.0,6200 BLOCK ELMWOOD AV,6200 BLOCK RIDGE AV,6200 BLOCK WOODLAND AV
63.0,6300 BLOCK FRANKFORD AV,,
64.0,6400 BLOCK SACKETT ST,,
65.0,6500 BLOCK FRANKFORD AV,,
66.0,6600 BLOCK E ROOSEVELT BLVD,,
67.0,6700 BLOCK RIDGE AV,,
68.0,6800 BLOCK RISING SUN AV,,
69.0,6900 BLOCK CASTOR AV,,
70.0,2900 BLOCK S 70TH ST,,
71.0,7100 BLOCK OGONTZ AV,,
72.0,7200 BLOCK GERMANTOWN AV,,
73.0,7300 BLOCK FRANKFORD AV,,
74.0,7400 BLOCK BUSTLETON AV,,
75.0,7500 BLOCK GILBERT ST,,
76.0,7600 BLOCK CITY AV,,
77.0,7700 BLOCK FRANKFORD AV,,
78.0,7800 BLOCK BUSTLETON AV,,
79.0,7900 BLOCK E ROOSEVELT BLVD,,
80.0,8000 BLOCK STATE RD,,
81.0,8100 BLOCK STATE RD,,
82.0,8200 BLOCK BARTRAM AV,,
83.0,8300 BLOCK STATE RD,,
84.0,8400 BLOCK FRANKFORD AV,,
85.0,8500 BLOCK HENRY AV,,
86.0,8600 BLOCK FAYETTE ST,8600 BLOCK PINE RD,
87.0,8700 BLOCK COTTAGE ST,8700 BLOCK DITMAN ST,8700 BLOCK FRONTENAC ST
88.0,8800 BLOCK FRANKFORD AV,,
89.0,8900 BLOCK FRANKFORD AV,,
90.0,9000 BLOCK REVERE ST,9000 BLOCK TINICUM BLVD,
91.0,9100 BLOCK FRANKFORD AV,,
92.0,9200 BLOCK FRANKFORD AV,,
93.0,9300 BLOCK KREWSTOWN RD,,
94.0,9400 BLOCK E ROOSEVELT BLVD,,
95.0,9500 BLOCK STATE RD,,
96.0,9600 BLOCK BUSTLETON AV,,
97.0,9700 BLOCK E ROOSEVELT BLVD,,
98.0,9800 BLOCK DUNGAN RD,,
99.0,9900 BLOCK FRANKFORD AV,,
