objectid,park_name,court_number,comments,data_source,lat,lng
475,Franklin Delano Roosevelt Park,5, ,Nearmap 2023,39.90437947386684,-75.17624089437513
476,Hunting Park,1, ,Nearmap 2023,40.01516849210924,-75.1418922347097
477,Fisher Park,2, ,2024 October Site Visits,40.043759236632134,-75.13129521373014
478,Eastwick Regional Playground,3,Renovated in 2021 (share pickleball),Nearmap 2023,39.90476624685699,-75.25057591661117
479,Wisters Woods Park,0,Operated by Woodford Tennis Courts,Property Team 2024,40.03453072021943,-75.15825295905233
480,Wissinoming Park,1, ,Nearmap 2023,40.025158835336654,-75.06999680188217
481,Fernhill Park,2, ,Nearmap 2023,40.02065480732925,-75.16868206300634
482,Disston Park,2, ,Nearmap 2023,40.01880855312773,-75.04869465109202
483,Jim Junod Recreation Center,1,Field Lights,2024 September Site Visits,40.10351709803673,-74.96978874777808
484,Michael Palmer Playground,1, ,2024 September Site Visits,40.094838729966725,-74.98928967639169
485,J Francis Finnegan Playground,3, ,Nearmap 2023,39.91416330922127,-75.23201201050527
486,Lawncrest Recreation Center,2, ,Nearmap 2023,40.04646154360046,-75.10111496211742
487,Joseph F Vogt Playground,1, ,Nearmap 2023,40.02838482964279,-75.04791917174515
488,Fox Chase Recreation Center,2,Fox Chase School Playground,Nearmap 2023,40.07430594905558,-75.08145694593308
489,Torresdale Recreation Center,1, ,Nearmap 2023,40.05917605804026,-74.99809459202477
490,William B Simons Recreation Center,1, ,Nearmap 2023,40.0617342108698,-75.15830611610023
491,Olney Recreation Center,1, ,Nearmap 2023,40.04227347152486,-75.11641135148024
492,Charles A Russo Playground,2, ,Nearmap 2023,40.02902209503367,-75.03377733222996
493,Max Myers Playground,4, ,Nearmap 2023,40.039079807432124,-75.07156765344757
494,William A Lackman Memorial Playground,1,Renovated April 2023,"Nearmap 2023, Capital 2023",40.10004694316207,-75.0334337289281
495,George C Pelbano Playground,1,Lights for court exist. No Court Number Sign.,Nearmap 2023,40.06182311968372,-75.05141628995263
496,Thomas E Jardel Memorial Field,2, ,Nearmap 2023,40.05664881705496,-75.07694115180242
497,Daniel Boyle Memorial Recreation Center,2,Courts Lit. Pickleball Court Added,GIS Field Inspection 2024,40.1223608475711,-75.00695772961932
498,Stenton Park,0, ,2024 December Site Visits,40.02383066051233,-75.15266723785193
499,Water Tower Recreation Center,1, ,Nearmap 2023,40.074921228468654,-75.20043455315087
500,Pepper School Playground,1, ,Nearmap 2023,39.8962916190227,-75.2490357603412
501,Elizabeth M Picariello Playground,1,Renovated May 2023,2024 September Site Visits,40.079916738240385,-74.98886575119025
502,Reyburn Park,1, ,Nearmap 2023,39.99477762997864,-75.1655225174946
503,Bridesburg Recreation Center,2, ,Nearmap 2023,39.99935392446878,-75.06852269423091
504,Francis J Myers Recreation Center,1, ,Nearmap 2023,39.933970943308736,-75.22878526541062
505,Harry S McDevitt Playground,1, ,Nearmap 2023,40.00892153484995,-75.18715677894521
506,Thomas Mitchell Playground,2, ,Nearmap 2023,40.068567765299036,-74.99192994063337
507,Charles M Finley Playground,2, ,Nearmap 2023,40.064116025830415,-75.1698124876454
508,Morris Estate Cultural Center,1, ,Nearmap 2023,40.050293984308965,-75.14683886105722
509,Frank McArdle Memorial Recreation Center,2, ,Nearmap 2023,40.06076583537321,-75.02733630909029
510,Boniface Piccoli Playground,2, ,Nearmap 2023,40.012881700332194,-75.09591702177825
511,Helen G Sturgis Playground,1,Pickleball Court,2024 October Site Visits,40.04952706091218,-75.12435930833887
512,John L Barrett Playground,2, ,Nearmap 2023,40.02960129817523,-75.13590966786249
513,A Albert Cherashore Playground,2, ,2024 October Site Visits,40.0378967575583,-75.13726940490116
514,West Mill Creek Playground,2, ,Nearmap 2023,39.96929306396331,-75.22506156272146
515,11th and Cecil B Moore Playground,1, ,Nearmap 2023,39.9790568055176,-75.15109324891071
516,Waterview Recreation Center,1, ,Nearmap 2023,40.04511277609977,-75.16796645170774
517,East Poplar Playground,2,Renovated 2021,Nearmap 2023,39.96736107770583,-75.15110194687308
518,Pleasant Playground,1, ,Nearmap 2023,40.05688227360515,-75.18297533708098
519,Happy Hollow Recreation Center,2, ,2024 December Site Visits,40.02321358732214,-75.16645676455991
520,CCA Baldi School Playground,1, ,Nearmap 2023,40.091766614800456,-75.05099098488219
521,Wharton Square,1, ,Nearmap 2023,39.93537045947348,-75.1837586045476
522,Commodore John Barry Playground,1, ,Nearmap 2023,39.916060560045864,-75.17829887916325
523,Marie Dendy Recreation Center,1, ,Nearmap 2023,39.97507122864997,-75.15126512408622
524,Albert W Christy Sr Recreation Center,2, ,Nearmap 2023,39.94901670941116,-75.23505917396274
525,Penrose Memorial Playground,1, ,Nearmap 2023,39.985920024399825,-75.15151964829049
526,Charles T Mitchell Jr (Seger) Park,1,"2 Pickleball Courts; Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Nearmap 2023,39.9435014494788,-75.15905289582645
527,Hawthorne Cultural Center,0, ,Nearmap 2023,39.93829084046307,-75.16374404756509
528,Weccacoe Square,0, ,Nearmap 2023,39.9381491082627,-75.15086699444518
529,Garden Court,1, ,Nearmap 2023,39.95314083875145,-75.21656870993117
530,Allens Lane Art Center,0, ,Nearmap 2023,40.05143316527263,-75.20262647099095
531,Kingsessing Recreation Center,1, ,Nearmap 2023,39.942459183604726,-75.21834717870675
532,Officer Robert Hayes Memorial Playground,2, ,Nearmap 2023,40.09147586816664,-75.02153899220339
533,John A Lee Cultural Center,0, ,Nearmap 2023,39.96095783004493,-75.21073636769583
534,Garland and Bingham Fields,0, ,Nearmap 2023,40.033702415153854,-75.11031910510158
535,Rufus O Williams Memorial Playground,3, ,Nearmap 2023,39.95062796198209,-75.24976231482803
536,Samuel Rose Recreation Center,1, ,Nearmap 2023,39.97359906667605,-75.26059514688212
537,Samuel F Houston Playground,2, ,Nearmap 2023,40.0699204378168,-75.23182193721891
